model,n_series,mape_median,pct_under_50,mape_mean,rmse_mean,r2_mean
GradientBoosting(얕음),1536,0.1054323222727491,91.47135416666666,0.473466981263386,1581582836.1736715,-7.769783187158461
RandomForest(얕음),1536,0.10800710894152393,90.8203125,0.5420123770091657,1641324807.3896382,-8.680780102100323
XGBoost(얕음),1536,0.10840342255281718,90.95052083333334,0.4479539854532025,1629538351.614556,-9.001727992217004
ExtraTrees(얕음),1536,0.12007635719246601,89.71354166666666,0.4591633452760788,1725874681.0374687,-21.246667550316282
LightGBM(얕음),1536,0.12263359625886625,89.6484375,0.5740110033218502,1772578022.475237,-36.91063288395416
ElasticNet,1536,0.14720788233482618,87.36979166666666,0.954594413012948,2405094969.349288,-58.976436645467494
Ridge,1536,0.1483988309850301,86.84895833333334,0.9398595535829685,2385963564.3444266,-61.24314794914539
LinearRegression(OLS),1536,0.15154062445829636,86.26302083333334,0.9254554242408354,2420374165.766718,-64.52195498473806
HistGradientBoosting(얕음),1536,0.17032712565520725,83.26822916666666,0.9647149044358733,2765572460.200336,-145.1556673521612
